Agency,GFS,Amount,Payment Date
E0586075,21752,34420619,2016-01-15
E0586075,21186,23466329,2016-01-15
E0586075,216037,4434958,2016-01-15
E0586075,21200,21502807,2016-01-15
E0307187,214047,55799845,2016-01-15
E0307187,215,74421166,2016-01-15
E0307187,213,72309394,2016-01-15
E0307187,219578,72233766,2016-01-15
E0307187,21433,4033214,2016-01-15
E0307187,214,81011609,2016-01-15
E0307187,217719,69987747,2016-01-15
E0307187,216037,74851457,2016-01-15
E0307187,212652,25782053,2016-01-15
E0307187,218,93842580,2016-01-15
E0307187,21448,53030904,2016-01-15
E0307187,21434,91144998,2016-01-15
E0307187,215,43507933,2016-01-15
E0307187,214312,34677744,2016-01-15
E0307187,21131,87251241,2016-01-15
E0109833,21980,10981862,2016-01-15
E0109833,217719,67888528,2016-01-15
E0109833,214695,93487028,2016-01-15
E0109833,217,27998520,2016-01-15
E0109833,214,24714224,2016-01-15
E0109833,21108,90807570,2016-01-15
E0109833,21515,71155781,2016-01-15
E0109833,215727,36049869,2016-01-15
E0109833,217028,76249081,2016-01-15
E0109833,214,11897631,2016-01-15
E0109833,215706,70346551,2016-01-15
E0109833,21220,73411794,2016-01-15
E0109833,21433,60341265,2016-01-15
E0109833,21200,22762352,2016-01-15
E0109833,218,58450782,2016-01-15
E0109833,218,29879927,2016-01-15
E0337037,217,74568571,2016-01-15
E0337037,213,64608089,2016-01-15
E0337037,218,12001803,2016-01-15
E0337037,213197,80437714,2016-01-15
E0337037,217973,55547758,2016-01-15
E0337037,214729,20175678,2016-01-15
E0337037,211,14713445,2016-01-15
E0337037,21582,77424502,2016-01-15
E0337037,214312,22939225,2016-01-15
E0337037,215,59462069,2016-01-15
E0337037,219,50826244,2016-01-15
E0337037,217,35206899,2016-01-15
E0337037,214047,78997722,2016-01-15
E0337037,21872,32704800,2016-01-15
E0337037,217604,57321661,2016-01-15
E0337037,216862,40323328,2016-01-15
E0337037,21186,78738310,2016-01-15
E0337037,219578,63609826,2016-01-15
E0171808,21446,22016722,2016-01-15
E0171808,217604,73869118,2016-01-15
E0171808,21989,96081413,2016-01-15
E0171808,213,91827631,2016-01-15
E0171808,214047,91566939,2016-01-15
E0171808,215727,52787866,2016-01-15
E0171808,21572,63734847,2016-01-15
E0171808,211,38084264,2016-01-15
E0171808,218,64903691,2016-01-15
E0171808,216668,30196004,2016-01-15
E0171808,21582,15777959,2016-01-15
E0373479,219388,31045359,2016-01-15
E0373479,218,78459882,2016-01-15
E0373479,218,39102687,2016-01-15
E0373479,21200,78671390,2016-01-15
E0373479,216,30563832,2016-01-15
E0373479,211526,32953233,2016-01-15
E0373479,216992,91898466,2016-01-15
E0863254,219388,79344866,2016-01-15
E0863254,212,22112391,2016-01-15
E0863254,21855,51974293,2016-01-15
E0863254,214357,8899367,2016-01-15
E0863254,21638,524249,2016-01-15
E0863254,212,35888909,2016-01-15
E0863254,214729,74382902,2016-01-15
E0863254,21872,20320543,2016-01-15
E0863254,218,99924728,2016-01-15
E0835112,21325,37472416,2016-01-17
E0835112,211,98683623,2016-01-17
E0835112,21220,59997313,2016-01-17
E0835112,21572,66817705,2016-01-17
E0835112,214,91206184,2016-01-17
E0835112,211,78883580,2016-01-17
E0835112,212,84070572,2016-01-17
E0835112,21393,58255742,2016-01-17
E0835112,21131,81472301,2016-01-17
E0835112,218926,78453561,2016-01-17
E0505028,216,1014422,2016-01-17
E0505028,217,69281012,2016-01-17
E0505028,211,2549790,2016-01-17
E0505028,212245,56114864,2016-01-17
E0505028,218926,63354317,2016-01-17
E0505028,213183,52295653,2016-01-17
E0982709,214,27973291,2016-01-17
E0982709,214,54117744,2016-01-17
E0982709,214312,90536118,2016-01-17
E0982709,21799,14166310,2016-01-17
E0982709,218,36924475,2016-01-17
E0982709,219,19067198,2016-01-17
E0982709,212652,22333140,2016-01-17
E0982709,21191,97265387,2016-01-17
E0982709,21119,97781584,2016-01-17
E0586075,212,20923821,2016-01-17
E0586075,217719,9306653,2016-01-17
E0586075,213,9742883,2016-01-17
E0586075,21446,48582663,2016-01-17
E0586075,21855,29840266,2016-01-17
E0307187,21572,80547138,2016-01-17
E0307187,212245,43087970,2016-01-17
E0307187,21980,10599578,2016-01-17
E0307187,21305,86626274,2016-01-17
E0307187,213,44552260,2016-01-17
E0307187,213197,99337748,2016-01-17
E0307187,21108,61063429,2016-01-17
E0109833,21119,88900062,2016-01-17
E0109833,21220,73272438,2016-01-17
E0109833,214946,69501476,2016-01-17
E0109833,21638,6341944,2016-01-17
E0109833,213183,30544297,2016-01-17
E0109833,218926,66565101,2016-01-17
E0109833,211,42062758,2016-01-17
E0109833,21932,37440893,2016-01-17
E0109833,21186,33738558,2016-01-17
E0109833,213,69074636,2016-01-17
E0337037,21989,69895152,2016-01-17
E0337037,212,79258442,2016-01-17
E0337037,21305,22731734,2016-01-17
E0337037,21325,15831063,2016-01-17
E0337037,21220,48450086,2016-01-17
E0337037,216668,84946229,2016-01-17
E0337037,215,85470475,2016-01-17
E0337037,21131,32107206,2016-01-17
E0337037,219578,59005347,2016-01-17
E0337037,21799,33926437,2016-01-17
E0337037,215,18103741,2016-01-17
E0337037,21186,1930121,2016-01-17
E0337037,21200,95383163,2016-01-17
E0337037,212,95460626,2016-01-17
E0171808,211,84878698,2016-01-17
E0171808,21108,82909985,2016-01-17
E0171808,21665,55223388,2016-01-17
E0171808,21433,75905655,2016-01-17
E0171808,21572,61279902,2016-01-17
E0171808,216862,47241686,2016-01-17
E0171808,21980,22489927,2016-01-17
E0171808,215706,45172853,2016-01-17
E0171808,218,9454377,2016-01-17
E0171808,21220,29752836,2016-01-17
E0171808,214,33948556,2016-01-17
E0171808,213,24966057,2016-01-17
E0171808,214,83239034,2016-01-17
E0171808,21186,92692462,2016-01-17
E0373479,21143,4277524,2016-01-17
E0373479,214946,86810890,2016-01-17
E0373479,212,8796747,2016-01-17
E0373479,21980,22566396,2016-01-17
E0373479,211,50622745,2016-01-17
E0863254,218,26962113,2016-01-17
E0863254,21143,73755446,2016-01-17
E0863254,214742,75784771,2016-01-17
E0863254,214695,83003067,2016-01-17
E0863254,216992,31903948,2016-01-17
E0863254,219,61394535,2016-01-17
E0863254,217973,60940434,2016-01-17
E0863254,215727,83813335,2016-01-17
E0863254,215124,27469383,2016-01-17
E0863254,215920,6629694,2016-01-17
E0863254,211,95354103,2016-01-17
E0863254,21325,4871223,2016-01-17
E0863254,216037,17342895,2016-01-17
E0863254,219,78213206,2016-01-17
E0863254,211,13625171,2016-01-17
E0863254,214,61497553,2016-01-17
E0863254,21903,42244591,2016-01-17
E0863254,212,85563164,2016-01-17
E0863254,21752,89653273,2016-01-17
E0835112,21143,58649800,2016-01-26
E0835112,212,68865798,2016-01-26
E0835112,218,76242994,2016-01-26
E0835112,21119,33680343,2016-01-26
E0835112,213197,61058498,2016-01-26
E0835112,21515,28371872,2016-01-26
E0835112,21572,95116003,2016-01-26
E0835112,21582,25951366,2016-01-26
E0835112,21980,83928723,2016-01-26
E0835112,21799,13985290,2016-01-26
E0835112,21665,45076559,2016-01-26
E0835112,219388,56559550,2016-01-26
E0835112,21820,7071552,2016-01-26
E0835112,212,32860355,2016-01-26
E0505028,211,36964420,2016-01-26
E0505028,211,3088351,2016-01-26
E0505028,215,28406246,2016-01-26
E0505028,21108,63867648,2016-01-26
E0505028,213183,81530298,2016-01-26
E0505028,214,96654091,2016-01-26
E0505028,213197,97023770,2016-01-26
E0505028,21980,22595073,2016-01-26
E0505028,219351,65845384,2016-01-26
E0505028,21872,45953755,2016-01-26
E0505028,218,47574785,2016-01-26
E0505028,21665,8780372,2016-01-26
E0505028,219388,1692378,2016-01-26
E0505028,216823,73419748,2016-01-26
E0505028,215706,10462630,2016-01-26
E0982709,21191,75923166,2016-01-26
E0982709,21220,38727409,2016-01-26
E0982709,21855,27680656,2016-01-26
E0982709,216,53980200,2016-01-26
E0982709,214695,37338384,2016-01-26
E0586075,216419,18655579,2016-01-26
E0586075,219351,20304988,2016-01-26
E0586075,212,55657002,2016-01-26
E0586075,218926,54850182,2016-01-26
E0586075,21989,2968171,2016-01-26
E0586075,219,39900781,2016-01-26
E0586075,212652,97811702,2016-01-26
E0586075,211,29445839,2016-01-26
E0586075,216992,52835975,2016-01-26
E0586075,216823,67607170,2016-01-26
E0586075,21638,32382204,2016-01-26
E0586075,21131,1744195,2016-01-26
E0586075,215727,86574399,2016-01-26
E0586075,214742,61261399,2016-01-26
E0586075,215,6635476,2016-01-26
E0586075,217604,67115268,2016-01-26
E0586075,213183,20632717,2016-01-26
E0586075,216668,44009530,2016-01-26
E0307187,21638,84092224,2016-01-26
E0307187,219388,85839807,2016-01-26
E0307187,215,38728725,2016-01-26
E0307187,21191,48508683,2016-01-26
E0307187,214742,11497180,2016-01-26
E0307187,21903,57622102,2016-01-26
E0307187,21709,87790425,2016-01-26
E0109833,215124,31220106,2016-01-26
E0109833,214742,77786987,2016-01-26
E0109833,21186,22558776,2016-01-26
E0109833,217,40301975,2016-01-26
E0109833,218,16592351,2016-01-26
E0109833,216823,6702150,2016-01-26
E0109833,218926,6213383,2016-01-26
E0337037,219,8555482,2016-01-26
E0337037,214,28208101,2016-01-26
E0337037,211526,79508392,2016-01-26
E0337037,21143,59057959,2016-01-26
E0337037,218,55920813,2016-01-26
E0337037,21186,80002887,2016-01-26
E0337037,21131,78413581,2016-01-26
E0337037,218926,19662786,2016-01-26
E0337037,216823,88113599,2016-01-26
E0337037,21200,72751808,2016-01-26
E0337037,216,68250900,2016-01-26
E0171808,218,9508780,2016-01-26
E0171808,211,44573861,2016-01-26
E0171808,21799,809894,2016-01-26
E0171808,21220,54010733,2016-01-26
E0171808,213,30560870,2016-01-26
E0171808,215124,3038211,2016-01-26
E0171808,215,24621444,2016-01-26
E0171808,216419,11796759,2016-01-26
E0171808,21191,61686824,2016-01-26
E0171808,21448,68685569,2016-01-26
E0171808,217973,27277051,2016-01-26
E0171808,216037,55054613,2016-01-26
E0171808,21143,97396531,2016-01-26
E0171808,211,20551864,2016-01-26
E0171808,214742,5297804,2016-01-26
E0171808,214,20835851,2016-01-26
E0171808,219,44425365,2016-01-26
E0171808,217604,61448995,2016-01-26
E0373479,21820,617482,2016-01-26
E0373479,218,26170929,2016-01-26
E0373479,21572,89370399,2016-01-26
E0373479,216862,17298406,2016-01-26
E0373479,215,18967320,2016-01-26
E0373479,21515,58529162,2016-01-26
E0373479,211,88266986,2016-01-26
E0373479,219,65244866,2016-01-26
E0373479,219578,48113902,2016-01-26
E0373479,21220,15865309,2016-01-26
E0373479,213,75138447,2016-01-26
E0373479,218,80598933,2016-01-26
E0863254,21325,94295970,2016-01-26
E0863254,214695,83254959,2016-01-26
E0863254,21143,33344769,2016-01-26
E0863254,21709,74141785,2016-01-26
E0863254,212,79193962,2016-01-26
E0863254,213,45933597,2016-01-26
E0863254,218,36849152,2016-01-26
E0863254,21200,33512534,2016-01-26
E0863254,214,8938426,2016-01-26
E0863254,213197,56448141,2016-01-26
E0863254,21434,56396050,2016-01-26
E0863254,21582,12976175,2016-01-26
E0863254,216037,9791196,2016-01-26
E0835112,216668,86143981,2016-01-27
E0835112,21186,77015141,2016-01-27
E0835112,211,56313217,2016-01-27
E0835112,21572,99552177,2016-01-27
E0835112,217,59002807,2016-01-27
E0835112,215727,23807510,2016-01-27
E0835112,216823,50199225,2016-01-27
E0835112,21208,71321892,2016-01-27
E0835112,216862,42353797,2016-01-27
E0835112,21903,95854676,2016-01-27
E0835112,21446,66934657,2016-01-27
E0835112,217,97713946,2016-01-27
E0835112,212245,13385117,2016-01-27
E0835112,21752,99994663,2016-01-27
E0505028,219578,7842858,2016-01-27
E0505028,213197,13173926,2016-01-27
E0505028,214,75277247,2016-01-27
E0505028,217,77404900,2016-01-27
E0505028,216668,71512612,2016-01-27
E0505028,211,80202169,2016-01-27
E0505028,216992,89268382,2016-01-27
E0505028,212,14481930,2016-01-27
E0505028,21855,94578668,2016-01-27
E0505028,215124,40886075,2016-01-27
E0982709,214946,31566594,2016-01-27
E0982709,216668,55285653,2016-01-27
E0982709,219,33501113,2016-01-27
E0982709,211,24525159,2016-01-27
E0982709,218,77010099,2016-01-27
E0982709,216992,28461002,2016-01-27
E0982709,213,41812774,2016-01-27
E0982709,219,35593340,2016-01-27
E0982709,217028,92690637,2016-01-27
E0982709,215136,40492360,2016-01-27
E0982709,214312,65742683,2016-01-27
E0982709,213183,54482735,2016-01-27
E0982709,21446,95269165,2016-01-27
E0982709,215124,65472846,2016-01-27
E0982709,211,93182419,2016-01-27
E0586075,21668,16337337,2016-01-27
E0586075,21582,1199517,2016-01-27
E0586075,218926,54670175,2016-01-27
E0586075,214,97074075,2016-01-27
E0586075,212,22889636,2016-01-27
E0586075,21903,7108920,2016-01-27
E0307187,21143,55843622,2016-01-27
E0307187,214357,6112009,2016-01-27
E0307187,212,36771862,2016-01-27
E0307187,21448,72470248,2016-01-27
E0307187,211,67513197,2016-01-27
E0307187,21980,70129903,2016-01-27
E0307187,216134,68551446,2016-01-27
E0307187,21305,11550618,2016-01-27
E0307187,21582,12308363,2016-01-27
E0307187,215,53397070,2016-01-27
E0307187,217604,20077467,2016-01-27
E0307187,216919,79581810,2016-01-27
E0307187,21668,61938434,2016-01-27
E0307187,21572,1959809,2016-01-27
E0307187,215,58423408,2016-01-27
E0307187,218,41197974,2016-01-27
E0307187,21325,19451863,2016-01-27
E0109833,214,16740800,2016-01-27
E0109833,213183,69470912,2016-01-27
E0109833,215727,30466751,2016-01-27
E0109833,212,74251797,2016-01-27
E0109833,21638,98952090,2016-01-27
E0109833,21191,34999846,2016-01-27
E0109833,21668,85830947,2016-01-27
E0337037,214,91897010,2016-01-27
E0337037,211,7145527,2016-01-27
E0337037,216823,97164390,2016-01-27
E0337037,215,58955450,2016-01-27
E0337037,219,29906625,2016-01-27
E0337037,212,21272224,2016-01-27
E0337037,21186,17004180,2016-01-27
E0337037,21208,73741489,2016-01-27
E0337037,217,63985288,2016-01-27
E0171808,215,44877854,2016-01-27
E0171808,21989,4641005,2016-01-27
E0171808,211,15506936,2016-01-27
E0171808,21515,24620215,2016-01-27
E0171808,21572,92122398,2016-01-27
E0171808,211,83861636,2016-01-27
E0171808,211526,93609449,2016-01-27
E0171808,219,96128576,2016-01-27
E0171808,212,33781985,2016-01-27
E0171808,21638,97279249,2016-01-27
E0171808,21903,99802640,2016-01-27
E0171808,219,57761349,2016-01-27
E0373479,219388,71036049,2016-01-27
E0373479,214,24810621,2016-01-27
E0373479,218,10225901,2016-01-27
E0373479,214946,23765826,2016-01-27
E0373479,211,4880112,2016-01-27
E0373479,214742,52040800,2016-01-27
E0373479,21872,28426851,2016-01-27
E0373479,215136,74686436,2016-01-27
E0373479,214695,34790824,2016-01-27
E0373479,216862,24068987,2016-01-27
E0373479,21932,18109294,2016-01-27
E0373479,211526,425282,2016-01-27
E0373479,21220,15650196,2016-01-27
E0373479,219,84331996,2016-01-27
E0373479,21855,65733166,2016-01-27
E0373479,211,13843925,2016-01-27
E0373479,21799,33006744,2016-01-27
E0863254,212,16487957,2016-01-27
E0863254,211,98781417,2016-01-27
E0863254,215124,62955689,2016-01-27
E0863254,212,79717575,2016-01-27
E0863254,217604,43634730,2016-01-27
E0863254,21434,85790004,2016-01-27
E0863254,216134,22399691,2016-01-27
E0835112,21186,71393238,2016-01-29
E0835112,213,61020306,2016-01-29
E0835112,215920,29898319,2016-01-29
E0835112,216992,38837811,2016-01-29
E0835112,216919,18852208,2016-01-29
E0835112,21191,8032835,2016-01-29
E0835112,219,31330199,2016-01-29
E0835112,217,1681297,2016-01-29
E0835112,21448,2964924,2016-01-29
E0835112,218,44634277,2016-01-29
E0835112,217,48999707,2016-01-29
E0835112,21709,39770116,2016-01-29
E0835112,21325,44523838,2016-01-29
E0835112,21582,9419507,2016-01-29
E0835112,215124,7803253,2016-01-29
E0835112,212,55697653,2016-01-29
E0505028,21446,59485145,2016-01-29
E0505028,21143,92016671,2016-01-29
E0505028,216134,9395961,2016-01-29
E0505028,212652,46854742,2016-01-29
E0505028,21434,78678014,2016-01-29
E0505028,21872,36942982,2016-01-29
E0982709,217,96638672,2016-01-29
E0982709,216668,35169973,2016-01-29
E0982709,218,9560473,2016-01-29
E0982709,211,72842603,2016-01-29
E0982709,218,61736155,2016-01-29
E0586075,219578,89000221,2016-01-29
E0586075,213,70080559,2016-01-29
E0586075,21989,33177901,2016-01-29
E0586075,217028,63529413,2016-01-29
E0586075,212652,59840681,2016-01-29
E0586075,211,30646768,2016-01-29
E0586075,21665,64955025,2016-01-29
E0586075,219388,17826760,2016-01-29
E0586075,215,7147229,2016-01-29
E0586075,216668,15626460,2016-01-29
E0586075,21143,25047006,2016-01-29
E0586075,21668,95850922,2016-01-29
E0586075,211,33475644,2016-01-29
E0586075,21108,55443731,2016-01-29
E0586075,214695,95116157,2016-01-29
E0586075,21855,41033667,2016-01-29
E0586075,213,63668643,2016-01-29
E0586075,213,92623495,2016-01-29
E0307187,21191,55014563,2016-01-29
E0307187,219,89309739,2016-01-29
E0307187,214312,97492047,2016-01-29
E0307187,214,51958184,2016-01-29
E0307187,21220,88444290,2016-01-29
E0307187,21855,57924979,2016-01-29
E0307187,214357,65175601,2016-01-29
E0307187,215,39259179,2016-01-29
E0307187,216037,63511652,2016-01-29
E0307187,214,12244621,2016-01-29
E0307187,21932,58111345,2016-01-29
E0307187,215706,14252593,2016-01-29
E0307187,212652,43915853,2016-01-29
E0307187,21119,46406356,2016-01-29
E0109833,215920,97136746,2016-01-29
E0109833,215706,97429147,2016-01-29
E0109833,211,59526710,2016-01-29
E0109833,215,16355465,2016-01-29
E0109833,21200,9574700,2016-01-29
E0109833,211,27100489,2016-01-29
